City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Santa Maria,BR,2022-04-17 04:22:58,-29.6842,-53.8069,52.92,94,0,5.44
275,Macamic,CA,2022-04-17 04:22:58,48.7502,-78.9996,24.84,87,83,6.2
276,Broome,US,2022-04-17 04:22:59,42.2506,-75.833,38.01,75,75,11.5
277,Husavik,IS,2022-04-17 04:22:59,66.0449,-17.3389,41.13,86,53,8.63
278,Port Macquarie,AU,2022-04-17 04:22:59,-31.4333,152.9167,68.97,75,99,4.36
279,Opuwo,NA,2022-04-17 04:22:59,-18.0607,13.84,66.38,44,80,3.78
280,Songea,TZ,2022-04-17 04:23:00,-10.6833,35.65,61.79,98,29,2.71
281,Ayan,RU,2022-04-17 04:23:00,56.45,138.1667,28.09,76,71,7.05
282,Kupang,ID,2022-04-17 04:19:49,-10.1667,123.5833,85.3,71,47,1.19
283,Hithadhoo,MV,2022-04-17 04:23:01,-0.6,73.0833,83.62,62,95,6.15
284,Macusani,PE,2022-04-17 04:23:01,-14.0833,-70.4333,37.26,35,66,3.33
285,Laives,IT,2022-04-17 04:23:01,46.4228,11.3348,46.29,56,4,4.52
286,Sur,OM,2022-04-17 04:23:02,22.5667,59.5289,91.85,33,24,1.5
287,Faanui,PF,2022-04-17 04:23:02,-16.4833,-151.75,82.15,71,4,12.46
288,Safonovo,RU,2022-04-17 04:23:02,55.15,33.2167,29.61,81,24,11.72
289,Sept-Iles,CA,2022-04-17 04:23:03,50.2001,-66.3821,30.06,84,40,1.14
290,Alice Springs,AU,2022-04-17 04:20:58,-23.7,133.8833,94.55,14,10,11.5
291,Atessa,IT,2022-04-17 04:23:03,42.0693,14.4511,49.01,74,99,5.01
292,Alofi,NU,2022-04-17 04:23:04,-19.0595,-169.9187,84.09,74,57,6.91
