City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Ponta Do Sol,PT,32.6667,-17.1,70.43,44,100,7.45,overcast clouds
334,Maua,BR,-23.6678,-46.4614,63.36,93,87,5.32,overcast clouds
335,Soltsy,RU,58.1239,30.3238,27.25,92,32,4.74,scattered clouds
336,Aykhal,RU,66.0,111.5,30.04,96,100,14.58,snow
337,Ribeira Grande,PT,38.5167,-28.7,59.61,78,1,18.48,clear sky
338,Verkhoyansk,RU,67.5447,133.385,17.92,80,100,4.52,overcast clouds
339,Vila Do Maio,CV,15.1333,-23.2167,70.59,80,90,13.98,overcast clouds
340,Mansa,IN,29.9833,75.3833,83.7,16,99,6.29,overcast clouds
341,Upernavik,GL,72.7868,-56.1549,-17.1,100,50,8.7,scattered clouds
342,Cidreira,BR,-30.1811,-50.2056,66.34,75,99,6.89,overcast clouds
343,San Miguel,SV,13.4833,-88.1833,80.78,77,70,4.25,broken clouds
